Title,URL,Description,Start_date,Deadline
Contracts for Innovation: resource efficient chemicals impacts,https://www.ukri.org/opportunity/contracts-for-innovation-resource-efficient-chemicals-impacts/,"Organisations can apply for a share of up to £3 million, inclusive of VAT, to develop the impact validation of a demonstrated resource efficiency solution.",14 July 2025 9:30am UK time,27 August 2025 11:00am UK time
Funding for core summer schools in 2026,https://www.ukri.org/opportunity/funding-for-core-summer-schools-in-2026/,Apply for funding under the STFC Funding Support for Core Summer Schools scheme for events taking place in 2026.,14 July 2025 9:00am UK time,14 October 2025 5:00pm UK time
Smart Data Research UK Fellowships,https://www.ukri.org/opportunity/smart-data-research-uk-fellowships/,Apply for a fellowship to undertake innovative and impact-focused research using smart data. Projects should address a significant real-world challenge which is relevant to the UK.,15 July 2025 9:00am UK time,23 September 2025 4:00pm UK time
Institutional diversity fund (invite only),https://www.ukri.org/opportunity/institutional-diversity-fund-invite-only/,"The purpose of this opportunity is to provide strategic research infrastructure base funding, supporting independent research organisations to support the diverse social science ecosystem in the UK.",21 July 2025 9:00am UK time,16 September 2025 4:00pm UK time
Contracts for Innovation: resource efficient automotive impacts,https://www.ukri.org/opportunity/contracts-for-innovation-resource-efficient-automotive-impacts/,"Organisations can apply for a share of up to £3 million, inclusive of VAT, to develop the impact validation of a demonstrated resource efficiency solution.",14 July 2025 9:30am UK time,27 August 2025 11:00am UK time
Gap fund for early-stage development of new healthcare interventions,https://www.ukri.org/opportunity/funding-for-early-stage-development-of-new-healthcare-interventions/,"Apply to the Developmental Pathway Gap Fund to address a single-step evidence gap and de-risk the development of a new medicine, medical device, diagnostic test or other medical intervention.",10 July 2025 9:00am UK time,12 November 2025 4:00pm UK time
Contracts for Innovation: resource efficient construction impacts,https://www.ukri.org/opportunity/contracts-for-innovation-resource-efficient-construction-impacts/,"Organisations can apply for a share of up to £3 million, inclusive of VAT, to develop the impact validation of a demonstrated resource efficiency solution.",14 July 2025 9:30am UK time,27 August 2025 11:00am UK time
Digitise UK natural science collections,https://www.ukri.org/opportunity/digitise-uk-natural-science-collections/,Apply for funding to establish a Digitisation Hub for Natural Science Collections as part of the Distributed System of Scientific Collections (DiSSCo) UK programme.,8 July 2025 9:00am UK time,16 September 2025 4:00pm UK time
"Expression of interest: ATI Programme strategic batch, Jul 2025",https://www.ukri.org/opportunity/ati-programme-strategic-batch-jul-2025/,The ATI Programme funds industrial research and investment aid for research infrastructures to make the UK civil aerospace sector more competitive.,7 July 2025 9:30am UK time,23 July 2025 11:00am UK time
Pre-announcement: Local Innovation Partnerships Fund,https://www.ukri.org/opportunity/local-innovation-partnerships-fund/,The Local Innovation Partnerships Fund is a UK-wide programme that will provide up to £500 million funding to grow high potential innovation clusters.,Date d'ouverture non spécifiée,Date de clôture non spécifiée
Aviation’s non-CO2 Impacts on the Climate: programme coordinator,https://www.ukri.org/opportunity/aviations-non-co2-impacts-on-the-climate-programme-coordinator/,Apply for funding to become the programme coordinator for the Aviation’s non-CO2 Impacts on the Climate programme.,11 July 2025 9:00am UK time,18 September 2025 4:00pm UK time
Research and partnership hubs for a healthy society,https://www.ukri.org/opportunity/research-and-partnership-hubs-for-a-healthy-society/,Apply for funding to establish a large-scale multidisciplinary research hub drawing on expertise across EPSRC’s community and the health research community to support people to live healthier lives and prevent ill health.,15 July 2025 9:00am UK time,21 October 2025 4:00pm UK time
"Agri-tech and food technology, mid and north Wales: CRD",https://www.ukri.org/opportunity/agri-tech-and-food-technology-mid-and-north-wales-crd/,UK registered businesses can apply for a share of up to £2.7 million for business led projects that grow their innovation activities in the agri-tech and food technology cluster in mid and north Wales.,30 June 2025 9:30am UK time,20 August 2025 11:00am UK time
STFC leadership fellowships in public engagement,https://www.ukri.org/opportunity/stfc-leadership-fellowships-in-public-engagement/,"Apply for funding to support a leadership role in engaging the public with STFC supported science, technology or facilities.",7 July 2025 9:00am UK time,16 October 2025 4:00pm UK time
Computing resources on the STFC DiRAC HPC facility (RAC18),https://www.ukri.org/opportunity/computing-resources-on-the-stfc-dirac-hpc-facility-rac18/,Apply for computing resources on the STFC DiRAC High Performance Computing facility.,3 July 2025 9:00am UK time,18 September 2025 4:00pm UK time
Experimental medicine: invited stage two application,https://www.ukri.org/opportunity/experimental-medicine-invited-stage-two-application/,"Apply for funding to investigate the causes, progression and treatment of human disease. Your application must include an intervention in humans.",8 July 2025 9:00am UK time,3 September 2025 4:00pm UK time
US-UK and Germany-UK collaborative research: seed funding in semiconductor security,https://www.ukri.org/opportunity/us-uk-and-germany-uk-collaborative-research-seed-funding-in-semiconductor-security/,"Apply for funding to initiate collaborative projects with either the US or Germany in the field of semiconductor security. Applicants may request up to £100,000 for short-term visits or short-term projects, to be completed by 31 March 2026.",3 July 2025 9:00am UK time,31 July 2025 4:00pm UK time
Pre-announcement: Biological influence on ocean carbon: novel modelling approaches,https://www.ukri.org/opportunity/biological-influence-on-ocean-carbon-novel-modelling-approaches/,Apply for funding for a project to improve representation of biological processes in carbon storage models. It must be led by a UK researcher and can have US team members that are NASA supported.,Date d'ouverture non spécifiée,Date de clôture non spécifiée
UKRI Gambling Harms Research Coordination Centre (GHRCC),https://www.ukri.org/opportunity/ukri-gambling-harms-research-coordination-centre-ghrcc/,Apply for funding for UKRI’s Gambling Harms Research Coordination Centre (GHRCC).,26 June 2025 9:00am UK time,16 September 2025 4:00pm UK time
Gambling harms research and innovation partnerships,https://www.ukri.org/opportunity/gambling-harms-research-and-innovation-partnerships/,Apply for funding to develop Gambling Harms Research and Innovation Partnerships (GHRIPs).,26 June 2025 9:00am UK time,16 September 2025 4:00pm UK time
Pre-announcement: multiple model assessment of biological influence on ocean carbon,https://www.ukri.org/opportunity/multiple-model-assessment-of-biological-influence-on-ocean-carbon/,Apply for funding for a project comparing and improving biological carbon storage in multiple global models. It must be led by a UK researcher and can have US team members that are NASA supported.,Date d'ouverture non spécifiée,Date de clôture non spécifiée
Transdisciplinary research to tackle antimicrobial resistance: full application,https://www.ukri.org/opportunity/transdisciplinary-research-to-tackle-antimicrobial-resistance-full-application/,Apply for funding to undertake ambitious transdisciplinary research to tackle antimicrobial resistance (AMR).,18 June 2025 9:00am UK time,23 September 2025 4:00pm UK time
Canada-UK NetworkPlus in semiconductor research,https://www.ukri.org/opportunity/canada-uk-networkplus-in-semiconductor-research/,"Apply for funding to build a Canada-UK academic NetworkPlus in semiconductor research, share expertise in areas of joint interest and seed future projects. Funding for this activity is unilateral. It will develop a roadmap and vision for a longer-term larger scale Canada-UK initiative in semiconductors.",2 July 2025 9:00am UK time,10 September 2025 4:00pm UK time
Knowledge Transfer Partnership: 2025 to 2026 round three,https://www.ukri.org/opportunity/knowledge-transfer-partnership-2025-to-2026-round-three/,"UK registered academic institutions, research and technology organisations (RTO) or Catapults can apply for a share of up to £9 million to fund innovation projects with businesses or not for profit organisations.",16 June 2025 9:00am UK time,17 September 2025 11:30am UK time
UK International Ocean Drilling Programme moratorium awards,https://www.ukri.org/opportunity/uk-international-ocean-drilling-programme-moratorium-awards/,Apply for funding to undertake research associated with an IODP3 expedition or SPARC project.,24 June 2025 9:00am UK time,Date de clôture non spécifiée
Health Technologies Connectivity Awards: round two,https://www.ukri.org/opportunity/health-technologies-connectivity-awards-round-two/,Apply for funding to spend time in a different research or user environment to build new skills and collaborations applicable to health technologies. Novel engineering and physical sciences research must comprise a proportion of the placement.,19 June 2025 9:00am UK time,2 October 2025 4:00pm UK time
ADOPT facilitator support grant: round two,https://www.ukri.org/opportunity/adopt-facilitator-support-grant-round-two/,"Farming, growing or forestry businesses based in England can apply for a grant of £2,500 to engage an external project facilitator to support the development of a full ADOPT grant application.",12 June 2025 9:30am UK time,24 July 2025 11:00am UK time
Full ADOPT grant: round two,https://www.ukri.org/opportunity/full-adopt-grant-round-two/,"Farming, growing or forestry businesses based in England can apply for a share of up to £2 million for on-farm trial and demonstration projects, to improve adoption of new ideas or solutions in the agricultural sector.",26 June 2025 9:30am UK time,20 August 2025 11:00am UK time
Clinician scientist fellowship,https://www.ukri.org/opportunity/clinician-scientist-fellowship/,Apply for support to become an independent researcher in a medical research field.,11 June 2025 9:00am UK time,3 September 2025 4:00pm UK time
Predoctoral clinical research training fellowship,https://www.ukri.org/opportunity/pre-doctoral-clinical-research-training-fellowship/,Apply for funding to undertake a PhD.,11 June 2025 9:00am UK time,3 September 2025 4:00pm UK time
Postdoctoral clinical research training fellowship,https://www.ukri.org/opportunity/post-doctoral-clinical-research-training-fellowship/,Apply for funding to reacquire research skills.,11 June 2025 9:00am UK time,3 September 2025 4:00pm UK time
Engineer next generation veterinary vaccine technology platforms,https://www.ukri.org/opportunity/engineer-next-generation-veterinary-vaccine-technology-platforms/,"Apply to engineer next generation ‘plug and play’ veterinary vaccine technology platforms, using novel transformative technologies underpinned by immunological understanding, focusing on unmet needs in veterinary research.",11 June 2025 9:00am UK time,16 September 2025 4:00pm UK time
Strategic infrastructure for engineering and physical sciences: June 2025,https://www.ukri.org/opportunity/strategic-infrastructure-for-engineering-and-physical-sciences-june-2025/,Apply for funding to purchase strategic infrastructure that will improve UK scientific capability and enable cutting-edge research of high priority to EPSRC.,18 June 2025 9:00am UK time,28 August 2025 4:00pm UK time
Commercialising Knowledge Assets Fund: autumn 2025,https://www.ukri.org/opportunity/commercialising-knowledge-assets-fund-autumn-2025/,"UK registered government research organisations can apply for grants between £50,000 and £250,000 to move viable public sector knowledge assets towards commercial readiness. This funding is provided by the GOTT.",2 June 2025 9:30am UK time,4 September 2025 11:00am UK time
Ernest Rutherford Fellowship 2025,https://www.ukri.org/opportunity/ernest-rutherford-fellowship-2025/,"STFC is offering up to 10 Ernest Rutherford Fellowships to exceptional researchers at an early stage of their career. The aim is to support future scientific leaders to establish a strong, independent research programme.",4 June 2025 9:00am UK time,1 October 2025 4:00pm UK time
Research to advance UK recycling capabilities: full stage,https://www.ukri.org/opportunity/research-to-advance-uk-recycling-capabilities-full-stage/,This is the second stage of this funding opportunity. You may only submit a full proposal if you have been invited by EPSRC.,28 May 2025 9:00am UK time,23 July 2025 4:00pm UK time
Sandpit: moving respiratory health diagnosis into the 21st century invite only,https://www.ukri.org/opportunity/sandpit-moving-respiratory-health-diagnosis-into-the-21st-century-invite-only/,Apply for funding to develop transformative diagnostic and monitoring approaches to respiratory disease in community healthcare settings.,21 May 2025 9:00am UK time,22 July 2025 4:00pm UK time
Canada-UK semiconductors,https://www.ukri.org/opportunity/canada-uk-semiconductors/,UK registered organisations can apply for a share of at least £1 million for collaboration with Canadian small and medium-sized enterprises on joint semiconductors projects.,12 May 2025 9:30am UK time,15 October 2025 11:00am UK time
MRC Centre of Research Excellence: round three: invited full application,https://www.ukri.org/opportunity/mrc-centre-of-research-excellence-round-three/,Apply for MRC CoRE funding to tackle complex and interdisciplinary health challenges.,15 May 2025 9:00am UK time,11 September 2025 4:00pm UK time
MRC: partnership,https://www.ukri.org/opportunity/responsive-mode-partnership/,Apply for funding to support new partnerships between diverse groups of researchers within the remit of MRC.,6 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Infections and immunity: programme,https://www.ukri.org/opportunity/infections-and-immunity-programme/,Apply for funding to support a programme of research focused on Infections and immunity.,6 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Neurosciences and mental health: programme,https://www.ukri.org/opportunity/neurosciences-and-mental-health-programme/,Apply for funding to support a programme of research focused on neurosciences and mental health.,6 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Population and systems medicine: programme,https://www.ukri.org/opportunity/population-and-systems-medicine-programme/,Apply for funding to support a programme of research focused on population and systems medicine.,6 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Molecular and cellular medicine: programme,https://www.ukri.org/opportunity/molecular-and-cellular-medicine-programme/,Apply for funding to support a programme of research focused on molecular and cellular medicine.,6 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Molecular and cellular medicine: new investigator,https://www.ukri.org/opportunity/molecular-and-cellular-medicine-new-investigator/,Apply for funding to:,2 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Neurosciences and mental health: new investigator,https://www.ukri.org/opportunity/neurosciences-and-mental-health-new-investigator/,Apply for funding to:,2 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Infections and immunity: new investigator,https://www.ukri.org/opportunity/infections-and-immunity-new-investigator/,Apply for funding to:,2 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Population and systems medicine: new investigator,https://www.ukri.org/opportunity/population-and-systems-medicine-new-investigator/,Apply for funding to:,2 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Neurosciences and mental health: research grant,https://www.ukri.org/opportunity/neurosciences-and-mental-health-research/,Apply for funding to support research projects focused on neurosciences and mental health.,1 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Population and systems medicine: research grant,https://www.ukri.org/opportunity/population-and-systems-medicine-research/,Apply for funding to support research projects focused on population and systems medicine.,1 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Molecular and cellular medicine: research grant,https://www.ukri.org/opportunity/molecular-and-cellular-medicine-research/,Apply for funding to support research projects focused on molecular and cellular medicine.,1 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Infections and immunity: research grant,https://www.ukri.org/opportunity/infections-and-immunity-research/,Apply for funding to support research projects focused on infections and immunity.,1 May 2025 9:00am UK time,4 September 2025 4:00pm UK time
Pre-announcement: DARE UK Real-world Research Exemplar Programme,https://www.ukri.org/opportunity/dare-uk-real-world-research-exemplar-programme/,Apply for funding as a research exemplar to evaluate and influence new capabilities of trusted research environments.,8 September 2025 9:00am UK time,5 November 2025 4:00pm UK time
BBSRC new investigator award: 2025 round 3: applicant-led mode,https://www.ukri.org/opportunity/bbsrc-new-investigator-award-2025-round-3-applicant-led-mode/,Apply for funding for a research grant in any area within the remit of Biotechnology and Biological Sciences Research Council (BBSRC).,24 April 2025 9:00am UK time,24 September 2025 4:00pm UK time
BBSRC standard research grant: 2025 round 3: applicant-led mode,https://www.ukri.org/opportunity/bbsrc-standard-research-grant-2025-round-3-applicant-led-mode/,Apply for funding for a research grant in any area within the remit of Biotechnology and Biological Sciences Research Council (BBSRC).,24 April 2025 9:00am UK time,24 September 2025 4:00pm UK time
Critical mass programmes to drive a sustainable future (invitation only),https://www.ukri.org/opportunity/critical-mass-programmes-to-drive-a-sustainable-future-invitation-only/,"Full stage proposals for critical-mass transdisciplinary research programs to drive the transition to sustainable technologies and operations, clean energy, circular materials or interseasonal energy storage, in the UK’s mid-to-long term future.",1 May 2025 9:00am UK time,17 July 2025 4:00pm UK time
Experimental medicine stage one,https://www.ukri.org/opportunity/experimental-medicine/,"Apply for funding to investigate the causes, progression and treatment of human disease.",17 April 2025 9:00am UK time,1 October 2025 4:00pm UK time
Career development award,https://www.ukri.org/opportunity/career-development-award/,"You can apply for support to become an independent researcher, if your research focus is within Medical Research Council remit to improve human health.",18 June 2025 9:00am UK time,10 September 2025 4:00pm UK time
