URL,Pertinence,Matching Word(s),Title,Status,Start_date,Deadline,Pertinence LLM,Résumé LLM,Réponse brute
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D4-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,"climate resilience, social innovation",Innovative pathways for low carbon and climate resilient building stock and built environment (Built4People Partnership),Forthcoming,16 September 2025,17 February 2026,Non,"L'appel à projets est vide, il n'y a pas de description du projet, ce qui rend impossible la comparaison avec les projets précédents de l'entreprise. Il est donc difficile de déterminer si l'opportunité est pertinente ou non.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets est vide, il n'y a pas de description du projet, ce qui rend impossible la comparaison avec les projets précédents de l'entreprise. Il est donc difficile de déterminer si l'opportunité est pertinente ou non."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-08?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,"project design, renewable energy, economic impact",Understand and minimise the environmental impacts of offshore wind energy,Forthcoming,16 September 2025,17 February 2026,Non,**,"Bonjour !

Après avoir analysé l'appel à projets et les projets déjà réalisés par l'entreprise, voici ma réponse :

**Pertinence : Non**

**Projets similaires détectés : Aucun**

**Résumé rapide :**
L'appel à projets concerne spécifiquement la mise en œuvre de technologies pour réduire les impacts environnementaux de l'énergie éolienne offshore, ce qui est très loin des compétences et des domaines d'intervention de l'entreprise qui sont principalement liés à l'incubation, l'accélération et le développement de startups Deeptech, ainsi que la création d'écosystèmes d'entreprises. Il n'y a donc pas de similarité évidente entre cet appel à projets et les projets déjà réalisés par l'entreprise."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D4-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,renewable energy,Smarter buildings as part of the energy system for increased efficiency and flexibility – Societal Readiness Pilot,Forthcoming,16 September 2025,17 February 2026,Non,"L'appel à projet concerne spécifiquement le domaine de la construction et de l'énergie (bâtiments intelligents, énergie renouvelable, etc.) qui n'est pas un axe d'expertise identifié dans les projets précédents de l'entreprise. Les projets précédents de l'entreprise sont plutôt orientés vers l'incubation, la stratégie, l'économie numérique, la formation, etc. Il n'y a aucunesimilarité évidente avec les projets déjà réalisés par l'entreprise.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet concerne spécifiquement le domaine de la construction et de l'énergie (bâtiments intelligents, énergie renouvelable, etc.) qui n'est pas un axe d'expertise identifié dans les projets précédents de l'entreprise. Les projets précédents de l'entreprise sont plutôt orientés vers l'incubation, la stratégie, l'économie numérique, la formation, etc. Il n'y a aucunesimilarité évidente avec les projets déjà réalisés par l'entreprise."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,"sustainable development, industrial competitiveness","Competitiveness, energy security and integration aspects of advanced biofuels and renewable fuels of non-biological origin value chains",Forthcoming,16 September 2025,17 February 2026,Non,"Les projets précédemment réalisés par l'entreprise sont principalement liés à l'incubation, l'accélération et le développement de startups, ainsi qu'à la mise en place d'écosystèmes d'entrepreneuriat et de stratégies de financement. L'appel à projets concernant les biocarburants et les combustibles renouvelables de non-biologique origin ne correspond pas à ces domaines d'expertise. L'entreprise n'a pas de projet similaire dans son portefeuille pour justifier une participation à cet appel à projets.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : Les projets précédemment réalisés par l'entreprise sont principalement liés à l'incubation, l'accélération et le développement de startups, ainsi qu'à la mise en place d'écosystèmes d'entrepreneuriat et de stratégies de financement. L'appel à projets concernant les biocarburants et les combustibles renouvelables de non-biologique origin ne correspond pas à ces domaines d'expertise. L'entreprise n'a pas de projet similaire dans son portefeuille pour justifier une participation à cet appel à projets."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D4-04?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,"artificial intelligence, renewable energy, social innovation",Innovative approaches for the deployment of Positive Energy Districts,Forthcoming,16 September 2025,17 February 2026,Non,"L'appel à projets concerne la mise en place de districts énergétiquement positifs (PEDs) et la résolution des défis techniques, économiques et sociétaux qui les accompagnent. Les projets précédemment réalisés par l'entreprise (FACTORIAT, National Entrepreneurship Program, Arab Bank Strategy) ne montrent aucune similitude avec ce thème et ne possèdent pas les compétences requises pour aborder les défis énergétiques et de durabilité proposés dans l'appel à projets.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne la mise en place de districts énergétiquement positifs (PEDs) et la résolution des défis techniques, économiques et sociétaux qui les accompagnent. Les projets précédemment réalisés par l'entreprise (FACTORIAT, National Entrepreneurship Program, Arab Bank Strategy) ne montrent aucune similitude avec ce thème et ne possèdent pas les compétences requises pour aborder les défis énergétiques et de durabilité proposés dans l'appel à projets."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-18?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,"artificial intelligence, cybersecurity",Next generation distribution substation for increasing the system resilience,Forthcoming,16 September 2025,17 February 2026,Non,"L'appel à projet présenté concerne le développement de réseaux intelligents pour la distribution d'électricité, avec une focale sur l'intégration de technologie et la collecte de données pour améliorer la résilience et la gestion des réseaux. Les projets précédemment réalisés par l'entreprise ne montrent pas de similarité avec ce type de projet, car ils se concentrent sur l'incubation et l'accélération de startups, la création d'écosystèmes d'entrepreneuriat, et le développement de stratégies de financement pour l'économie digitale. Il n'y a pas de compétence ou d'expérience évidente dans le domaine de l'énergie, des réseaux électriques ou de la technologie associée.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet présenté concerne le développement de réseaux intelligents pour la distribution d'électricité, avec une focale sur l'intégration de technologie et la collecte de données pour améliorer la résilience et la gestion des réseaux. Les projets précédemment réalisés par l'entreprise ne montrent pas de similarité avec ce type de projet, car ils se concentrent sur l'incubation et l'accélération de startups, la création d'écosystèmes d'entrepreneuriat, et le développement de stratégies de financement pour l'économie digitale. Il n'y a pas de compétence ou d'expérience évidente dans le domaine de l'énergie, des réseaux électriques ou de la technologie associée."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-13?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,sustainable development,"Safety of Cyclists, Pedestrians and Users of Micromobility Devices",Forthcoming,15 September 2025,19 January 2026,Non,"L'appel à projets concerne la sécurité routière et la mobilité urbaine, ce qui n'est pas aligné avec les domaines d'expertise de l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing). Les projets précédemment réalisés par l'entreprise ne montrent aucunesimilarité avec ce domaine spécifique.","- Pertinence : Non
- Projets similaires détectés : None
- Résumé rapide : L'appel à projets concerne la sécurité routière et la mobilité urbaine, ce qui n'est pas aligné avec les domaines d'expertise de l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing). Les projets précédemment réalisés par l'entreprise ne montrent aucunesimilarité avec ce domaine spécifique."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-07?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,"public procurement, artificial intelligence, advanced materials, renewable energy, climate resilience","Innovative construction and maintenance, with the use of new materials and techniques, for resilient and sustainable transport infrastructure",Forthcoming,15 September 2025,19 January 2026,Non,"Les projets précédemment réalisés par l'entreprise sont principalement axés sur l'entrepreneuriat, l'incubation, la stratégie et le développement économique, mentre que l'appel à projets est focalisé sur la construction durable et résiliente des infrastructures de transport, avec des objectifs de réduction des émissions de gaz à effet de serre et de preservation de la biodiversité. Il n'y a pas de similitude évidente entre les deux domaines.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : Les projets précédemment réalisés par l'entreprise sont principalement axés sur l'entrepreneuriat, l'incubation, la stratégie et le développement économique, mentre que l'appel à projets est focalisé sur la construction durable et résiliente des infrastructures de transport, avec des objectifs de réduction des émissions de gaz à effet de serre et de preservation de la biodiversité. Il n'y a pas de similitude évidente entre les deux domaines."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-08?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,"artificial intelligence, cybersecurity",Accelerating freight transport and logistics digital innovation,Forthcoming,15 September 2025,19 January 2026,Non,"Les projets réalisés par l'entreprise jusqu'à présent sont principalement axés sur l'incubation, l'accélération, la stratégie et le développement de startups, avec un focus sur la Deeptech, le hardware et l'économie numérique. L'appel à projet européen concerne spécifiquement le développement de plateformes d'information électronique pour le transport de marchandises et la logistique, avec un focus sur l'interopérabilité, la sécurité et la réduction des coûts administratifs. Les compétences et les domaines d'expertise de l'entreprise ne semblaient pas alignés avec les objectifs de cet appel à projet.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : Les projets réalisés par l'entreprise jusqu'à présent sont principalement axés sur l'incubation, l'accélération, la stratégie et le développement de startups, avec un focus sur la Deeptech, le hardware et l'économie numérique. L'appel à projet européen concerne spécifiquement le développement de plateformes d'information électronique pour le transport de marchandises et la logistique, avec un focus sur l'interopérabilité, la sécurité et la réduction des coûts administratifs. Les compétences et les domaines d'expertise de l'entreprise ne semblaient pas alignés avec les objectifs de cet appel à projet."
"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-01-D6-14?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Yes,artificial intelligence,Predicting and avoiding road crashes based on Artificial Intelligence (AI) and big data,Forthcoming,15 September 2025,19 January 2026,Non,"L'appel à projets concerne la prédiction de la sécurité routière en utilisant des données en temps réel et des algorithmes d'apprentissage automatique pour identifier les situations à risque et déployer des contre-mesures préventives. Les projets précédents de l'entreprise ne présentent pas de similarités directes avec ce domaine spécifique. Les domaines de spécialisation de l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing) ne correspondent pas au domaine de la sécurité routière et de la prédiction de crash. Il n'y a donc pas de pertinence directe entre ce nouvel appel à projets et les précédents projets de l'entreprise.","Voici ma réponse :

- Pertinence : Non

- Projets similaires détectés : Aucun

- Résumé rapide : L'appel à projets concerne la prédiction de la sécurité routière en utilisant des données en temps réel et des algorithmes d'apprentissage automatique pour identifier les situations à risque et déployer des contre-mesures préventives. Les projets précédents de l'entreprise ne présentent pas de similarités directes avec ce domaine spécifique. Les domaines de spécialisation de l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing) ne correspondent pas au domaine de la sécurité routière et de la prédiction de crash. Il n'y a donc pas de pertinence directe entre ce nouvel appel à projets et les précédents projets de l'entreprise."
