Cat‚gorie	Mot-cl‚ (FR)	Keyword (EN)
Conseil & Strat‚gie	conseil strat‚gique	strategic consulting
Conseil & Strat‚gie	assistance technique	technical assistance
Conseil & Strat‚gie	appui institutionnel	institutional support
Conseil & Strat‚gie	accompagnement personnalis‚	tailored support
Conseil & Strat‚gie	accompagnement … l?innovation	innovation support
Conseil & Strat‚gie	accompagnement … la lev‚e de fonds	fundraising support
Conseil & Strat‚gie	d‚veloppement organisationnel	organizational development
Conseil & Strat‚gie	d‚veloppement de capacit‚s	capacity building
Conseil & Strat‚gie	structuration de programme	program structuring
Conseil & Strat‚gie	ing‚nierie de projet	project design
Conseil & Strat‚gie	gestion de projet	project management
Conseil & Strat‚gie	pilotage de programme	program steering
Conseil & Strat‚gie	strat‚gie de croissance	growth strategy
Conseil & Strat‚gie	expertise sectorielle	sector expertise
Conseil & Strat‚gie	‚valuation de projets	project evaluation
Conseil & Strat‚gie	due diligence	due diligence
Conseil & Strat‚gie	mise en ?uvre de projet	project implementation
Conseil & Strat‚gie	‚laboration de feuille de route	roadmap development
Conseil & Strat‚gie	ing‚nierie financiŠre	financial engineering
Conseil & Strat‚gie	diagnostic strat‚gique	strategic diagnosis
Conseil & Strat‚gie	suivi-‚valuation	monitoring and evaluation
Conseil & Strat‚gie	plan d?action op‚rationnel	operational action plan
Conseil & Strat‚gie	partenariat public-priv‚	public-private partnership
Conseil & Strat‚gie	animation d?‚cosystŠme	ecosystem animation
Conseil & Strat‚gie	analyse d?impact	impact analysis
Conseil & Strat‚gie	facilitation de partenariats	partnership facilitation
Conseil & Strat‚gie	cartographie des acteurs	stakeholder mapping
Conseil & Strat‚gie	transfert de comp‚tences	knowledge transfer
Conseil & Strat‚gie	innovation collaborative	collaborative innovation
Conseil & Strat‚gie	open innovation	open innovation
Conseil & Strat‚gie	d‚veloppement ‚conomique	economic development
Conseil & Strat‚gie	d‚veloppement d?‚cosystŠmes	ecosystem development
Conseil & Strat‚gie	strat‚gie d?expansion	expansion strategy
Conseil & Strat‚gie	strat‚gie de d‚veloppement	development strategy
Innovation & Transfert technologique	valorisation de la recherche	research valorization
Innovation & Transfert technologique	transfert de technologie	technology transfer
Innovation & Transfert technologique	maturation technologique	technology maturation
Innovation & Transfert technologique	industrialisation de prototypes	prototype industrialization
Innovation & Transfert technologique	co-d‚veloppement technologique	technological co-development
Innovation & Transfert technologique	propri‚t‚ intellectuelle	intellectual property
Innovation & Transfert technologique	r‚sultats de recherche	research results
Innovation & Transfert technologique	niveau de maturit‚ technologique	technology readiness level
Innovation & Transfert technologique	spin-off universitaire	university spin-off
Innovation & Transfert technologique	collaboration recherche-industrie	research-industry collaboration
Innovation & Transfert technologique	start-up technologique	technology startup
Innovation & Transfert technologique	portefeuille technologique	technology portfolio
Innovation & Transfert technologique	commercialisation d?innovations	innovation commercialization
Innovation & Transfert technologique	preuve de concept	proof of concept
Innovation & Transfert technologique	prototypage	prototyping
Innovation & Transfert technologique	incubateur technologique	technology incubator
Innovation & Transfert technologique	accompagnement … la R&D	R&D support
Innovation & Transfert technologique	exploitation de brevets	patent exploitation
Opportunit‚s de financement	appel … projets	call for projects
Opportunit‚s de financement	appel … propositions	call for proposals
